idx,opath,lineName,direction,t_flag,time,lng,lat,distance_of_gpspoint,gps_normalized_distance_length
BS01899D,36456.0,M2333,1.0,1,2019-01-04 08:08:27,114.049037344,22.6378706293,22.986308082720846,0.5490791064225766
BS00077D,36456.0,M2333,1.0,1,2019-01-04 08:08:36,114.048448858,22.6379712926,22.924796739914832,0.5476097711547626
BS00077D,36456.0,M2333,1.0,1,2019-01-04 08:08:46,114.048999497,22.6378770822,22.982352556527328,0.5489846198795462
BS01899D,36456.0,M2333,1.0,1,2019-01-04 08:08:47,114.049429817,22.637803713,23.027326854980515,0.5500589310528669
BS01899D,36456.0,M2333,1.0,1,2019-01-04 08:08:49,114.049580939,22.637777947,23.04312116336518,0.5504362132463886
BS00077D,36456.0,M2333,1.0,1,2019-01-04 08:08:56,114.04901763,22.6378739904,22.984247704201056,0.549029889697887
BS01899D,36456.0,M2333,1.0,1,2019-01-04 08:08:57,114.050176286,22.6376764411,23.17564194579531,0.5536017669550267
BS01899D,36456.0,M2333,1.0,1,2019-01-04 08:09:07,114.050939309,22.6374940633,23.186489309059624,0.5538608803588312
BS00077D,83519.0,M2333,1.0,1,2019-01-04 08:09:08,114.051089,22.6374502,23.20262515469957,0.5542463209295165
BS00077D,83519.0,M2333,1.0,1,2019-01-04 08:09:36,114.051089,22.6374502,23.20262515469957,0.5542463209295165
BS00077D,83519.0,M2333,1.0,1,2019-01-04 08:10:46,114.051089,22.6374502,23.20262515469957,0.5542463209295165
BS01899D,83519.0,M2333,1.0,1,2019-01-04 08:10:47,114.051141484,22.6374274339,23.208580198638508,0.5543885704022432
BS00077D,83519.0,M2333,1.0,1,2019-01-04 08:10:56,114.05133985,22.6373413886,23.2310875866272,0.5549262094367615
BS01899D,15982.0,M2333,1.0,1,2019-01-04 08:10:57,114.051859522,22.6370960457,23.291020136354465,0.5563578317195331
BS00077D,15982.0,M2333,1.0,1,2019-01-04 08:11:06,114.052208509,22.6369297392,23.331345153878893,0.5573210844745691
